nome,preco,quantidade,tipo,data_scraping
Adesivo | G2 Esports (Dourado) | Xangai 2024,10.85,20,Legends,2024-12-17
Adesivo | FaZe Clan (Holográfico) | Xangai 2024,3.25,30,Legends,2024-12-17
Adesivo | FaZe Clan (Dourado) | Xangai 2024,11.54,22,Legends,2024-12-17
Adesivo | Natus Vincere (Dourado) | Xangai 2024,7.18,16,Legends,2024-12-17
Adesivo | Vitality (Dourado) | Xangai 2024,5.9,21,Legends,2024-12-17
Adesivo | Team Spirit (Dourado) | Xangai 2024,31.45,33,Legends,2024-12-17
Adesivo | MOUZ (Dourado) | Xangai 2024,7.61,17,Legends,2024-12-17
Adesivo | FaZe Clan | Xangai 2024,0.07,213,Legends,2024-12-17
Adesivo | Natus Vincere | Xangai 2024,0.05,543,Legends,2024-12-17
Adesivo | 3DMAX (Dourado) | Xangai 2024,8.47,12,Legends,2024-12-17
Adesivo | Natus Vincere (Holográfico) | Xangai 2024,1.95,32,Legends,2024-12-17
Cápsula de Adesivos das Lendas do Xangai 2024,1.29,505,Legends,2024-12-17
Adesivo | G2 Esports (Holográfico) | Xangai 2024,4.11,54,Legends,2024-12-17
Adesivo | Vitality (Purpurinado) | Xangai 2024,0.09,120,Legends,2024-12-17
Adesivo | 3DMAX (Purpurinado) | Xangai 2024,0.3,84,Legends,2024-12-17
Adesivo | Team Spirit | Xangai 2024,0.11,241,Legends,2024-12-17
Adesivo | MOUZ (Holográfico) | Xangai 2024,5.18,28,Legends,2024-12-17
Adesivo | HEROIC | Xangai 2024,0.03,643,Legends,2024-12-17
Adesivo | HEROIC (Dourado) | Xangai 2024,3.88,26,Legends,2024-12-17
Adesivo | Vitality | Xangai 2024,0.03,546,Legends,2024-12-17
Adesivo | Vitality (Holográfico) | Xangai 2024,1.12,58,Legends,2024-12-17
Adesivo | 3DMAX | Xangai 2024,0.06,217,Legends,2024-12-13
Adesivo | HEROIC (Purpurinado) | Xangai 2024,0.07,163,Legends,2024-12-17
Adesivo | MOUZ (Purpurinado) | Xangai 2024,0.23,119,Legends,2024-12-16
Adesivo | G2 Esports | Xangai 2024,0.07,218,Legends,2024-12-14
Adesivo | MOUZ | Xangai 2024,0.04,299,Legends,2024-12-14
Adesivo | hallzerk (Dourado) | Xangai 2024,52.44,1,Autographs,2024-12-17
Adesivo | YEKINDAR (Dourado) | Xangai 2024,81.59,2,Autographs,2024-12-17
Adesivo | JT (Dourado) | Xangai 2024,17.16,5,Autographs,2024-12-16
Adesivo | n0rb3r7 (Dourado) | Xangai 2024,6.3,8,Autographs,2024-12-17
Adesivo | tabseN (Dourado) | Xangai 2024,25.96,4,Autographs,2024-12-17
Adesivo | bodyy (Dourado) | Xangai 2024,10.49,5,Autographs,2024-12-14
Adesivo | Liazz (Dourado) | Xangai 2024,17.96,4,Autographs,2024-12-13
Adesivo | rigoN (Dourado) | Xangai 2024,17.67,6,Autographs,2024-12-17
Adesivo | electronic (Holográfico) | Xangai 2024,1.65,12,Autographs,2024-12-16
Adesivo | afro (Purpurinado) | Xangai 2024,0.1,34,Autographs,2024-12-17
Adesivo | bLitz (Holográfico) | Xangai 2024,3.58,13,Autographs,2024-12-17
Adesivo | EliGE (Dourado) | Xangai 2024,14.06,5,Autographs,2024-12-14
Adesivo | s-chilla (Dourado) | Xangai 2024,4.79,12,Autographs,2024-12-17
Adesivo | jackasmo (Dourado) | Xangai 2024,11.68,6,Autographs,2024-12-17
Adesivo | ultimate (Dourado) | Xangai 2024,83.91,5,Autographs,2024-12-17
Adesivo | L1haNg (Dourado) | Xangai 2024,39.27,2,Autographs,2024-12-14
Adesivo | Jame (Dourado) | Xangai 2024,20.73,2,Autographs,2024-12-17
Adesivo | JDC (Dourado) | Xangai 2024,7.21,5,Autographs,2024-12-17
Adesivo | KRIMZ (Dourado) | Xangai 2024,9.11,4,Autographs,2024-12-14
Adesivo | blameF (Holográfico) | Xangai 2024,1.03,4,Autographs,2024-12-17
Adesivo | Snax (Dourado) | Xangai 2024,15.77,16,Autographs,2024-12-17
Adesivo | kyxsan (Dourado) | Xangai 2024,4.23,16,Autographs,2024-12-16
